orgvar | var | descr

fips | fips | fips code of U.S. state
state | state | name of U.S. state
year | year | year in which the observation was recorded
fgastax | fgastax | federal gas tax in the U.S. in cents per gallon (cpg)
sgastax | sgastax | state gas tax in cpg
gas_tax_all | gas_tax_all | sum of federal and state gas taxes in cpg
nom_oilprice | nom_oilprice | nominal oil price in cpg
taxin_gas_price | taxin_gas_price | tax-inclusive gas price in cpg
avg_sgastax | avg_sgastax | average state gas tax per year in cpg
min_sgastax | min_sgastax | minimum state gas tax per year in cpg
max_sgastax | max_sgastax | maximum state gas tax per year in cpg
avg_fgastax | avg_fgastax | average federal gas tax per year in cpg
tax_fraction | tax_fraction | tax fraction of the tax-inclusive gas price per state and year
fifth_perc | fifth_perc | fifth-percentile of the tax-fraction per year
median | median | median of the tax-fraction per year
ninetyfifth_perc | ninetyfifth_perc | ninety-fifth percentule of the tax-fraction per year
median_price | median_price | median of the tax-inclusive gas price per year
growth8708 | growth8708 | absolute tax increase per state from 1987 to 2008
growth6608 | growth6608 | absolute tax increase per state from 1966 to 2008
growth6687 | growth6687 | absolute tax increase per state from 1966 to 1987
apop_adj | apop_adj | adult population from census per state and year, adjusted
fsize | fsize | average family size per state and year
hug | hug | highway gasoline consumption in thousands of gallons
lic_driver | lic_driver | number of licensed drivers per state and year
no_auto | no_auto | number of automobiles per state and year
no_truck | no_truck | number of (passenger) trucks per state and year
gsp_capita | gsp_capita | gross state product per capita in 1.000
railpop | railpop | fraction of population living in metro areas with rail transit 
pop_state_adj | pop_state_adj | population from census per state and year, adjusted
urbanization | urbanization | fraction of population that lives in a metropolitan area
lngca | lngca | log of the gasoline consumption per adult
lngpinc | lnpginc | log of the tax-inclusive gas price
exclgp | exclgp | tax-exclusive gas price
lngp | lngp | log of tax-exclusive gas price
lntr | lntr | log of the tax ratio 
trend | trend | linear time trend
trend2 | trend2 | squared linear time trend
lnrma | lnrma | logarithm of the road mileage per adult
lncarscap | lncarscap | log of the number of registered cars per adult
lntrkscap | lntrkscap | log of the number of registered trucks per adult
lndriverscap | lndriverscap | log of the number of licensed drivers per adult
lnincpop | lnincpop | log of the real income per adult in the specific state
gca | gca | gas consumption per adult in thousands of gallons
lntax | lntax | logarithm of sum of federal and state gas tax
unemployment | unemployment | Unemployment rate
hsgrad | hsgrad | Fraction of adults graduating high school
bagrad | bagrad | Fraction of adults with BA
Democrat_Gov | Democrat_Gov | Dummy variable, 1 when Democrat Governer of the state
demsfrac | demsfrac | Fraction of a state's senate seats occupied by democrats
demhfrac | demhfrac | Fraction of a state's house seats occupied by democrats
budget_surplus | budget_surplus | State's budget surplus as fraction of revenues
fd_sgastax | fd_sgastax | First-differenced values of state gas tax
fd_gsp_capita | fd_gsp_capita | First-differenced values of GSP per capita
fd_fsize | fd_fsize | First-differenced values of family size
fd_autos_capita | fd_autos_capita | First-differenced values of autos per capita
fd_drivers_capita | fd_drivers_capita | First-differenced values of drivers per capita
fd_unemployement | fd_unemployement | First-differenced values of unemployment rate
fd_ urbanization | fd_ urbanization | First-differenced values of urbanization dummy 
fd_railpop | fd_railpop | First-differenced values of fraction of population living in metro areas with rail transit 
fd_hsgrad | fd_hsgrad | First-differenced values of fraction of fraction of adults graduating high school
fd_bagrad | fd_bagrad | First-differenced values of fraction of adults with BA
fd_Democrat_Gov | fd_Democrat_Gov | First-differenced values of dummy variable for Democrat State Governor
fd_demsfrac | fd_demsfrac | First-differenced values of fraction of a state's senate seats occupied by democrats
fd_demhfrac | fd_demhfrac | First-differenced values of fraction of a state's house seats occupied by democrats
fd_budget_surplus | fd_budget_surplus | First-differenced values of state's budget surplus as fraction of revenues
